temporal_decay,clay_weight,hard_weight,overall_rmse
0.2,0.2,0.2,0.12796661819685287
0.2,0.2,0.4,0.1285014266636188
0.2,0.2,0.6,0.12973550438988662
0.2,0.2,0.8,0.1304008810905408
0.2,0.4,0.2,0.1352941311507149
0.2,0.4,0.4,0.13355837955680824
0.2,0.4,0.6,0.13357988442326296
0.2,0.4,0.8,0.13390688974312215
0.2,0.6,0.2,0.14135625810121458
0.2,0.6,0.4,0.13824455086116283
0.2,0.6,0.6,0.13694268251809294
0.2,0.6,0.8,0.13656392216644997
0.2,0.8,0.2,0.14630270094805728
0.2,0.8,0.4,0.1428069785915502
0.2,0.8,0.6,0.1401021413125695
0.2,0.8,0.8,0.13863717331178874
0.4,0.2,0.2,0.13372928112464327
0.4,0.2,0.4,0.13518015207547285
0.4,0.2,0.6,0.13606484642002908
0.4,0.2,0.8,0.13644167453779393
0.4,0.4,0.2,0.13879495695556796
0.4,0.4,0.4,0.13855121064697098
0.4,0.4,0.6,0.1386715198681162
0.4,0.4,0.8,0.13878472791068772
0.4,0.6,0.2,0.14191627964381703
0.4,0.6,0.4,0.14144567106730857
0.4,0.6,0.6,0.14144775387185823
0.4,0.6,0.8,0.1408341942126761
0.4,0.8,0.2,0.14571506467363607
0.4,0.8,0.4,0.14356148687158354
0.4,0.8,0.6,0.1435858775279838
0.4,0.8,0.8,0.14347089301475013
0.6,0.2,0.2,0.1419069522932486
0.6,0.2,0.4,0.1435347789350524
0.6,0.2,0.6,0.1442000823936019
0.6,0.2,0.8,0.14519272212803971
0.6,0.4,0.2,0.14514234127781847
0.6,0.4,0.4,0.14565825151671694
0.6,0.4,0.6,0.14630801131523127
0.6,0.4,0.8,0.14676427611868775
0.6,0.6,0.2,0.14860153025799355
0.6,0.6,0.4,0.14780379194496918
0.6,0.6,0.6,0.14788570848472896
0.6,0.6,0.8,0.14834680130640546
0.6,0.8,0.2,0.15016492818790478
0.6,0.8,0.4,0.15005922478979375
0.6,0.8,0.6,0.149342401164735
0.6,0.8,0.8,0.14941408551823354
